="Table 3: Dynamic Panel Data Estimation (Kiviet Bias-Corrected LSDVC)"
="",="(1)",="(2)",="(3)"
="",="Palma (EF)",="Gini (EF)",="Palma (CO2)"
="",="b/se",="b/se",="b/se"
="L.ln_ef",="0.632***",="0.629***",=""
="",="(0.044)",="(0.045)",=""
="ln_palma",="0.087**",="",="0.103"
="",="(0.038)",="",="(0.113)"
="ln_gdp_per_capita",="-0.002",="-0.006",="-0.660*"
="",="(0.121)",="(0.120)",="(0.373)"
="ln_gdp_sq",="0.006",="0.006",="0.043**"
="",="(0.007)",="(0.007)",="(0.021)"
="ln_fossil_fuel_share",="-0.003",="-0.003",="0.164***"
="",="(0.009)",="(0.009)",="(0.029)"
="ln_renewable_energy",="-0.016***",="-0.016***",="0.008"
="",="(0.006)",="(0.006)",="(0.017)"
="ln_urban_pct",="-0.115",="-0.122",="-0.223"
="",="(0.146)",="(0.145)",="(0.465)"
="ln_trade_openness",="0.083***",="0.082***",="0.287***"
="",="(0.027)",="(0.027)",="(0.082)"
="ln_oil",="0.028***",="0.027***",="0.059*"
="",="(0.010)",="(0.010)",="(0.036)"
="ihs_fdi",="0.001",="0.001",="0.013"
="",="(0.005)",="(0.005)",="(0.016)"
="ln_gini_wid",="",="0.317**",=""
="",="",="(0.132)",=""
="L.ln_co2_per_capita",="",="",="1.062***"
="",="",="",="(0.023)"
="Observations",="255.000",="255.000",="255.000"
="Bootstrapped standard errors in parentheses (50 iterations)."
