="Table 4: Dynamic Panel Threshold Estimation"
="",="(1)",="(2)"
="",="Palma Threshold",="Gini Threshold"
="",="b/se",="b/se"
="L.ln_ef",="0.412***",="0.417***"
="",="(0.074)",="(0.074)"
="below_thres_m1",="0.213***",=""
="",="(0.071)",=""
="above_thres_m1",="0.190***",=""
="",="(0.066)",=""
="ln_gdp_per_capita",="0.328",="0.247"
="",="(0.237)",="(0.234)"
="ln_gdp_sq",="-0.012",="-0.008"
="",="(0.013)",="(0.013)"
="ln_fossil_fuel_share",="-0.024",="-0.025"
="",="(0.016)",="(0.016)"
="ln_renewable_energy",="-0.021**",="-0.021**"
="",="(0.009)",="(0.009)"
="ln_urban_pct",="0.072",="0.052"
="",="(0.232)",="(0.230)"
="ln_trade_openness",="0.074",="0.055"
="",="(0.047)",="(0.047)"
="ln_oil",="0.055***",="0.058***"
="",="(0.020)",="(0.020)"
="ihs_fdi",="0.013",="0.014*"
="",="(0.008)",="(0.008)"
="below_thres_m2",="",="0.611**"
="",="",="(0.250)"
="above_thres_m2",="",="0.638**"
="",="",="(0.302)"
="_cons",="-2.365",="-1.177"
="",="(1.907)",="(1.867)"
="Observations",="255.000",="255.000"
="Threshold effects estimated via Forward Orthogonal Deviations (FOD)."
